Bluesky Communications,@psms.bluesky.as,AS
BeeLine GSM,7@sms.beemail.ru,RU
Megafon Center,7@sms.megafoncenter.ru,RU
Megafon Volga,7@sms.mgsm.ru,RU
MTS,7@sms.mts.ru,RU
Personal Communication,@sms@pcom.ru,RU
Primtel,@sms.primtel.ru,RU
SCS-900,@scs-900.ru,RU
SMARTS,7@penza-gsm.ru,RU
Uraltel,@sms.uraltel.ru,RU
Vessotel,@pager.irkutsk.ru,RU
YCC,@sms.ycc.ru,RU
MTS (064),064@gm.telekom.rs,CS
MTS (066),066@gm.telekom.rs,CS
Telenor (063),@063.telenor.rs,CS
Telenor (062),@062.telenor.rs,CS
Telenor (069),@069.telenor.rs,CS
M1,@m1.com.sg,SG
Starhub,@enterprisemessaging-starhub.com,SG
Mobitel,0@linux.mobitel.si,SK
Si Mobil,@simobil.net,SK
MTN,@sms.co.za,ZA
Vodacom,@voda.co.za,ZA
Helio,@myhelio.com,KR
Esendex,@esendex.net,ES
Telefonica(Movistar),@correo.movistar.net,ES
Vodafone,0@vodafone.es,ES
Dialog,@sms.dialog.lk,LK
Mobitel,@sms.mobitel.lk,LK
Comviq GSM,46@sms.comviq.se,SE
Europolitan,46@europolitan.se,SE
Tele2,0@sms.tele2.se,SE
Sunrise Communications,@gsm.sunrise.ch,CH
Sunrise Mobile,@mysunrise.ch,CH
Swisscom,@bluewin.ch,CH
Mobitel,@sms.co.tz,TZ
O2,44@mmail.co.uk,UK
Orange,44@orange.net,UK
T-Mobile,44@t-mobile.uk.net,UK
Vodafone,44@vodafone.net,UK
Beeline,@sms.beeline.ua,UA
Golden Telecom,@sms.goldentele.com,UA
Kyivstar(Contract Customers),380@sms.kyivstar.net,UA
Kyivstar(Prepaid Customers),380@2sms.kyivstar.net,UA
Life:),380@life.com.ua,UA
UMC,@sms.umc.com.ua,UA
Metro PCS,@mymetropcs.com,US
T-Mobile,@tmomail.net,US
Verizon Wireless,@vtext.com,US
AT&T,@txt.att.net,US
Sprint PCS,@messaging.sprintpcs.com,US
Nextel,@messaging.nextel.com,US
Cricket,@mms.cricketwireless.net,US
US Cellular,@email.uscc.net,US
Cingular (GSM),@cingularme.com,US
Cingular (TDMA),@mmode.com,US
3 River Wireless,@sms.3rivers.net,US
Advantage Communications,@advantagepaging.com,US
AirVoice,@mmode.com,US
AllTel,@message.alltel.com,US
Bell South,@sms.bellsouth.com,US
Bell South (Blackberry),@bellsouthtips.com,US
Bell South Mobility,@blsdcs.net,US
Bluegrass Cellular,@sms.bluecell.com,US
Boost Mobile,@myboostmobile.com,US
CallPlus,@mmode.com,US
Carolina Mobile Communications,@cmcpaging.com,US
Cellular One,@mobile.celloneusa.com,US
Cellular One East Coast,@phone.cellone.net,US
Cellular One PCS,@paging.cellone-sf.com,US
Cellular One South West,@swmsg.com,US
Cellular One West,@mycellone.com,US
Cellular South,@csouth1.com,US
Central Vermont Communications,@cvcpaging.com,US
CenturyTel,@messaging.centurytel.net,US
Cingular Wireless,@mobile.mycingular.net,US
Cook Paging,@cookmail.com,US
Corr Wireless Communications,@corrwireless.net,US
Dobson Communications Corporation,@mobile.dobson.net,US
Dobson-Alex Wireless / Dobson-Cellular One,@mobile.cellularone.com,US
Edge Wireless,@sms.edgewireless.com,US
Galaxy Corporation,@sendabeep.net,US
GrayLink / Porta-Phone,@epage.porta-phone.com,US
GTE,@gte.pagegate.net,US
Houston Cellular,@text.houstoncellular.net,US
Inland Cellular Telephone,@inlandlink.com,US
JSM Tele-Page,@jsmtel.com,US
Lauttamus Communication,@e-page.net,US
MCI,@pagemci.com,US
MCI Phone,@mci.com,US
Metrocall,@page.metrocall.com,US
Metrocall 2-way,@my2way.com,US
Midwest Wireless,@clearlydigital.com,US
Mobilecom PA,@page.mobilcom.net,US
Mobilfone,@page.mobilfone.com,US
Morris Wireless,@beepone.net,US
Nextel,@page.nextel.com,US
NPI Wireless,@npiwireless.com,US
Ntelos,@pcs.ntelos.com,US
Omnipoint,@omnipoint.com,US
OnlineBeep,@onlinebeep.net,US
Pacific Bell,@pacbellpcs.net,US
PageMart,@pagemart.net,US
PageOne NorthWest,@page1nw.com,US
PCS One,@pcsone.net,US
Pioneer / Enid Cellular,@msg.pioneerenidcellular.com,US
Price Communications,@mobilecell1se.com,US
ProPage,@page.propage.net,US
Public Service Cellular,@sms.pscel.com,US
Qwest,@qwestmp.com,US
RAM Page,@ram-page.com,US
Safaricom,@safaricomsms.com,US
Satelindo GSM,@satelindogsm.com,US
Simple Freedom,@text.simplefreedom.net,US
Smart Telecom,@mysmart.mymobile.ph,US
Southern LINC,@page.southernlinc.com,US
Southwestern Bell,@email.swbw.com,US
Surewest Communications,@mobile.surewest.com,US
Teletouch,@pageme.teletouch.com,US
Telus,@msg.telus.com,US
TIM,@timnet.com,US
TSR Wireless,@beep.com,US
Unicel,@utext.com,US
USA Mobility,@mobilecomm.net,US
Virgin Mobile,@vmobl.com,US
West Central Wireless,@sms.wcc.net,US
Western Wireless,@cellularonewest.com,US
Wyndtell,@wyndtell.com,US
Globalstar,@msg.globalstarusa.com,SAT
Iridium,@msg.iridium.com,SAT
